date,count
2019-07-18,8518
2019-07-19,6195
2019-07-20,1339
2019-07-21,1869
2019-07-22,2661
2019-07-23,951
2019-07-24,6551
2019-07-25,7258
2019-07-26,5293
2019-07-27,523
2019-07-28,6761
2019-07-29,6571
2019-07-30,5731
2019-07-31,8908
2019-08-01,1013
2019-08-02,5222
2019-08-03,4345
2019-08-04,9471
2019-08-05,9165
2019-08-06,2004
2019-08-07,2490
2019-08-08,1303
2019-08-09,2591
2019-08-10,4004
2019-08-11,2042
2019-08-12,4191
2019-08-13,5885
2019-08-14,4537
2019-08-15,1442
2019-08-16,2683
2019-08-17,2832
2019-08-18,2956
2019-08-19,1077
2019-08-20,2418
2019-08-21,5698
2019-08-22,1620
2019-08-23,5535
2019-08-24,3754
2019-08-25,7932
2019-08-26,4084
2019-08-27,8500
2019-08-28,2914
2019-08-29,653
2019-08-30,3740
2019-08-31,5795
2019-09-01,5816
2019-09-02,7603
2019-09-03,1329
2019-09-04,7138
2019-09-05,7827
2019-09-06,8714
2019-09-07,6504
2019-09-08,6326
2019-09-09,1751
2019-09-10,9049
2019-09-11,3414
2019-09-12,2711
2019-09-13,5072
2019-09-14,9670
2019-09-15,6344
2019-09-16,4872
2019-09-17,8845
2019-09-18,9600
2019-09-19,7495
2019-09-20,5456
2019-09-21,7687
2019-09-22,6838
2019-09-23,2045
2019-09-24,3758
2019-09-25,3647
2019-09-26,7874
2019-09-27,6902
2019-09-28,4378
2019-09-29,2066
2019-09-30,8199
2019-10-01,1963
2019-10-02,4932
2019-10-03,8236
2019-10-04,7815
2019-10-05,7361
2019-10-06,7481
2019-10-07,7804
2019-10-08,8491
2019-10-09,775
2019-10-10,4814
2019-10-11,2241
2019-10-12,2491
2019-10-13,3933
2019-10-14,4562
2019-10-15,1647
2019-10-16,7981
2019-10-17,734
2019-10-18,6206
2019-10-19,9981
2019-10-20,1555
2019-10-21,9300
2019-10-22,3006
2019-10-23,8084
2019-10-24,5030
2019-10-25,2792
2019-10-26,9045
2019-10-27,9389
2019-10-28,6879
2019-10-29,8653
2019-10-30,3736
2019-10-31,3766
2019-11-01,9864
2019-11-02,4187
2019-11-03,9339
2019-11-04,2499
2019-11-05,6605
2019-11-06,5011
2019-11-07,3050
2019-11-08,6910
2019-11-09,1731
2019-11-10,5995
2019-11-11,7430
2019-11-12,7991
2019-11-13,3040
2019-11-14,2560
2019-11-15,9830
2019-11-16,2459
2019-11-17,3503
2019-11-18,1629
2019-11-19,5609
2019-11-20,5897
2019-11-21,3276
2019-11-22,2146
2019-11-23,2187
2019-11-24,7600
2019-11-25,5837
2019-11-26,982
2019-11-27,8470
2019-11-28,3215
2019-11-29,3865
2019-11-30,5961
2019-12-01,838
2019-12-02,5692
2019-12-03,6293
2019-12-04,7273
2019-12-05,6879
2019-12-06,2115
2019-12-07,1292
2019-12-08,7780
2019-12-09,5598
2019-12-10,4910
2019-12-11,7746
2019-12-12,8660
2019-12-13,4153
2019-12-14,6607
2019-12-15,3613
2019-12-16,6086
2019-12-17,2777
2019-12-18,9365
2019-12-19,882
2019-12-20,1336
2019-12-21,6448
2019-12-22,9407
2019-12-23,9958
2019-12-24,5105
2019-12-25,7856
2019-12-26,5334
2019-12-27,1275
2019-12-28,4389
2019-12-29,5368
2019-12-30,7601
2019-12-31,8877
2020-01-01,6817
2020-01-02,3090
2020-01-03,3121
2020-01-04,8500
2020-01-05,8886
2020-01-06,3463
2020-01-07,4729
2020-01-08,1669
2020-01-09,6043
2020-01-10,1739
2020-01-11,5479
2020-01-12,2531
2020-01-13,3957
2020-01-14,7085
2020-01-15,7009
2020-01-16,4758
2020-01-17,1356
2020-01-18,7302
2020-01-19,1717
2020-01-20,7282
2020-01-21,3364
2020-01-22,2487
2020-01-23,7729
2020-01-24,9473
2020-01-25,3968
2020-01-26,4562
2020-01-27,5418
2020-01-28,8590
2020-01-29,6401
2020-01-30,129
2020-01-31,5658
2020-02-01,8065
2020-02-02,6619
2020-02-03,209
2020-02-04,139
2020-02-05,4924
2020-02-06,7987
2020-02-07,7949
2020-02-08,4168
2020-02-09,7107
2020-02-10,7979
2020-02-11,3259
2020-02-12,3869
2020-02-13,4676
2020-02-14,3810
2020-02-15,1102
2020-02-16,2145
2020-02-17,6958
2020-02-18,3416
2020-02-19,9545
2020-02-20,8899
2020-02-21,2686
2020-02-22,7947
2020-02-23,5770
2020-02-24,9720
2020-02-25,9492
2020-02-26,5560
2020-02-27,1150
2020-02-28,2908
2020-02-29,2700
2020-03-01,2671
2020-03-02,5876
2020-03-03,8560
2020-03-04,7665
2020-03-05,8813
2020-03-06,8154
2020-03-07,6881
2020-03-08,6491
2020-03-09,6844
2020-03-10,6337
2020-03-11,8525
2020-03-12,152
2020-03-13,9312
2020-03-14,8889
2020-03-15,3993
2020-03-16,8545
2020-03-17,7067
2020-03-18,2456
2020-03-19,4240
2020-03-20,4545
2020-03-21,1281
2020-03-22,8967
2020-03-23,9025
2020-03-24,7547
2020-03-25,6038
2020-03-26,7179
2020-03-27,3778
2020-03-28,6749
2020-03-29,6725
2020-03-30,8823
2020-03-31,5491
2020-04-01,3746
2020-04-02,8539
2020-04-03,3462
2020-04-04,8381
2020-04-05,7833
2020-04-06,2535
2020-04-07,2339
2020-04-08,6024
2020-04-09,2449
2020-04-10,165
2020-04-11,9154
2020-04-12,572
2020-04-13,180
2020-04-14,9130
2020-04-15,3118
2020-04-16,7509
2020-04-17,832
2020-04-18,6934
2020-04-19,8828
2020-04-20,9763
2020-04-21,2263
2020-04-22,4662
2020-04-23,9567
2020-04-24,5370
2020-04-25,285
2020-04-26,8989
2020-04-27,8563
2020-04-28,1398
2020-04-29,7763
2020-04-30,3072
2020-05-01,4457
2020-05-02,3450
2020-05-03,6864
2020-05-04,4011
2020-05-05,9746
2020-05-06,5678
2020-05-07,4664
2020-05-08,4557
2020-05-09,4422
2020-05-10,6437
2020-05-11,7347
2020-05-12,8549
2020-05-13,2790
2020-05-14,6246
